,medical_plan,dental_plan,language,relationship_type,gender,effective_date,termination_date
Employee Milka Hovington with relationship to claimant Trixy Ostrich has the following problems,Medical plan does not match in both datasets,Ok,Language does not match in both datasets,Ok,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Berkly Furnell with relationship to claimant Georgi Flaxman has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Ok,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Brooke Harvard with relationship to claimant Meagan Woodrough has the following problems,Ok,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Kassey Minghetti with relationship to claimant Romy Shoard has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Ok,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Zebulen Michele with relationship to claimant Sergio Croux has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Ok,Ok,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Armin Spiteri with relationship to claimant Theodosia De Laspee has the following problems,Medical plan does not match in both datasets,Ok,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Jayson Dugan with relationship to claimant Prentice Gayler has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Ok,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Lenee Duester with relationship to claimant Brander Buist has the following problems,Medical plan does not match in both datasets,Ok,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Sadella Rubinivitz with relationship to claimant Avril Latour has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Nap Yuryichev with relationship to claimant Gavan Crutchfield has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Gram Yashnov with relationship to claimant Zebedee McNeilley has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Jackie Bucknell with relationship to claimant Felipa Castro has the following problems,Medical plan does not match in both datasets,Ok,Ok,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Tim Sayse with relationship to claimant Allison Zanotti has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Corbin Rook with relationship to claimant Domini Breckon has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Derrek Sisey with relationship to claimant Keefer Wickwarth has the following problems,Medical plan does not match in both datasets,Dental plan does not match in both datasets,Language does not match in both datasets,Relationship type does not match in both datasets,Ok,Effective date does not match in both datasets,Termination date does not match in both datasets
Employee Roxanne Reven with relationship to claimant Mordecai Sprionghall has the following problems,Ok,Dental plan does not match in both datasets,Ok,Ok,Gender type does not match in both datasets,Effective date does not match in both datasets,Termination date does not match in both datasets
